Number Of Animals (sum),Gear Code,Stat Area,Species Code,Batch Year,Date of Landing (MM/DD)
299,04,24425,430 Coho Salmon,2008,08/05
694,04,24425,430 Coho Salmon,2008,08/06
1697,04,24425,430 Coho Salmon,2008,08/07
9,04,24425,430 Coho Salmon,2013,07/17
2,04,24425,430 Coho Salmon,2013,07/18
14,04,24425,430 Coho Salmon,2013,07/21
14,04,24425,430 Coho Salmon,2013,07/22
11,04,24425,430 Coho Salmon,2013,07/23
13,04,24425,430 Coho Salmon,2013,07/24
19,04,24425,430 Coho Salmon,2013,07/25
34,04,24425,430 Coho Salmon,2013,07/26
56,04,24425,430 Coho Salmon,2013,07/27
127,04,24425,430 Coho Salmon,2013,07/28
22,04,24425,430 Coho Salmon,2013,07/29
48,04,24425,430 Coho Salmon,2013,07/30
82,04,24425,430 Coho Salmon,2013,08/01
182,04,24425,430 Coho Salmon,2013,08/02
2,04,24425,430 Coho Salmon,2014,07/16
8,04,24425,430 Coho Salmon,2014,07/17
3,04,24425,430 Coho Salmon,2014,07/18
42,04,24425,430 Coho Salmon,2014,07/19
11,04,24425,430 Coho Salmon,2014,07/20
17,04,24425,430 Coho Salmon,2014,07/21
16,04,24425,430 Coho Salmon,2014,07/22
3,04,24425,430 Coho Salmon,2014,07/23
6,04,24425,430 Coho Salmon,2014,07/24
34,04,24425,430 Coho Salmon,2014,07/25
26,04,24425,430 Coho Salmon,2014,07/26
16,04,24425,430 Coho Salmon,2014,07/27
36,04,24425,430 Coho Salmon,2014,07/28
31,04,24425,430 Coho Salmon,2014,07/29
41,04,24425,430 Coho Salmon,2014,07/30
43,04,24425,430 Coho Salmon,2014,08/01
10,04,24425,430 Coho Salmon,2014,08/02
1,04,24425,430 Coho Salmon,2015,07/07
3,04,24425,430 Coho Salmon,2015,07/08
1,04,24425,430 Coho Salmon,2015,07/11
12,04,24425,430 Coho Salmon,2015,07/13
12,04,24425,430 Coho Salmon,2015,07/17
3,04,24425,430 Coho Salmon,2015,07/18
1,04,24425,430 Coho Salmon,2015,07/21
7,04,24425,430 Coho Salmon,2015,07/22
12,04,24425,430 Coho Salmon,2015,07/24
2,04,24425,430 Coho Salmon,2015,07/25
3,04,24425,430 Coho Salmon,2015,07/28
15,04,24425,430 Coho Salmon,2015,07/31
8,04,24425,430 Coho Salmon,2015,08/01
46,04,24425,430 Coho Salmon,2015,08/02
145,04,24425,430 Coho Salmon,2018,08/08
333,04,24425,430 Coho Salmon,2018,08/09
340,04,24425,430 Coho Salmon,2018,08/10
222,04,24425,430 Coho Salmon,2018,08/11
282,04,24425,430 Coho Salmon,2018,08/12
1,04,24431,430 Coho Salmon,2005,07/06
2,04,24431,430 Coho Salmon,2005,07/09
2,04,24431,430 Coho Salmon,2005,07/11
17,04,24431,430 Coho Salmon,2005,07/12
11,04,24431,430 Coho Salmon,2005,07/13
1,04,24431,430 Coho Salmon,2005,07/15
2,04,24431,430 Coho Salmon,2005,07/16
1,04,24431,430 Coho Salmon,2005,07/18
1,04,24431,430 Coho Salmon,2005,07/19
1,04,24431,430 Coho Salmon,2005,07/20
5,04,24431,430 Coho Salmon,2005,07/24
5,04,24431,430 Coho Salmon,2005,07/25
8,04,24431,430 Coho Salmon,2005,07/26
36,04,24431,430 Coho Salmon,2005,07/27
312,04,24431,430 Coho Salmon,2005,07/28
40,04,24431,430 Coho Salmon,2005,07/30
83,04,24431,430 Coho Salmon,2005,07/31
53,04,24431,430 Coho Salmon,2005,08/01
25,04,24431,430 Coho Salmon,2005,08/03
19,04,24431,430 Coho Salmon,2005,08/04
47,04,24431,430 Coho Salmon,2005,08/06
84,04,24431,430 Coho Salmon,2005,08/07
61,04,24431,430 Coho Salmon,2005,08/08
110,04,24431,430 Coho Salmon,2005,08/09
178,04,24431,430 Coho Salmon,2005,08/10
38,04,24431,430 Coho Salmon,2006,06/26
21,04,24431,430 Coho Salmon,2006,06/29
36,04,24431,430 Coho Salmon,2006,06/30
21,04,24431,430 Coho Salmon,2006,07/01
3,04,24431,430 Coho Salmon,2006,07/02
23,04,24431,430 Coho Salmon,2006,07/03
2,04,24431,430 Coho Salmon,2006,07/06
52,04,24431,430 Coho Salmon,2006,07/07
38,04,24431,430 Coho Salmon,2006,07/08
11,04,24431,430 Coho Salmon,2006,07/10
79,04,24431,430 Coho Salmon,2006,07/12
25,04,24431,430 Coho Salmon,2006,07/13
313,04,24431,430 Coho Salmon,2006,07/15
66,04,24431,430 Coho Salmon,2006,07/16
43,04,24431,430 Coho Salmon,2006,07/17
10,04,24431,430 Coho Salmon,2006,07/19
25,04,24431,430 Coho Salmon,2006,07/20
21,04,24431,430 Coho Salmon,2006,07/21
8,04,24431,430 Coho Salmon,2006,07/22
66,04,24431,430 Coho Salmon,2006,07/31
53,04,24431,430 Coho Salmon,2006,08/01
140,04,24431,430 Coho Salmon,2006,08/02
66,04,24431,430 Coho Salmon,2006,08/03
230,04,24431,430 Coho Salmon,2006,08/04
164,04,24431,430 Coho Salmon,2006,08/05
195,04,24431,430 Coho Salmon,2006,08/06
364,04,24431,430 Coho Salmon,2006,08/07
154,04,24431,430 Coho Salmon,2006,08/08
112,04,24431,430 Coho Salmon,2006,08/09
3,04,24431,430 Coho Salmon,2007,06/28
3,04,24431,430 Coho Salmon,2007,06/30
5,04,24431,430 Coho Salmon,2007,07/02
10,04,24431,430 Coho Salmon,2007,07/04
9,04,24431,430 Coho Salmon,2007,07/05
19,04,24431,430 Coho Salmon,2007,07/09
12,04,24431,430 Coho Salmon,2007,07/11
9,04,24431,430 Coho Salmon,2007,07/12
31,04,24431,430 Coho Salmon,2007,07/14
67,04,24431,430 Coho Salmon,2007,07/16
117,04,24431,430 Coho Salmon,2007,07/18
239,04,24431,430 Coho Salmon,2007,07/19
177,04,24431,430 Coho Salmon,2007,07/20
95,04,24431,430 Coho Salmon,2007,07/21
59,04,24431,430 Coho Salmon,2007,07/22
104,04,24431,430 Coho Salmon,2007,07/23
15,04,24431,430 Coho Salmon,2007,07/25
44,04,24431,430 Coho Salmon,2007,07/26
62,04,24431,430 Coho Salmon,2007,07/27
33,04,24431,430 Coho Salmon,2007,07/28
102,04,24431,430 Coho Salmon,2007,07/30
165,04,24431,430 Coho Salmon,2007,07/31
111,04,24431,430 Coho Salmon,2007,08/01
81,04,24431,430 Coho Salmon,2007,08/02
47,04,24431,430 Coho Salmon,2007,08/05
234,04,24431,430 Coho Salmon,2007,08/06
249,04,24431,430 Coho Salmon,2007,08/07
21,04,24431,430 Coho Salmon,2007,08/08
179,04,24431,430 Coho Salmon,2007,08/09
1,04,24431,430 Coho Salmon,2008,06/26
2,04,24431,430 Coho Salmon,2008,06/28
3,04,24431,430 Coho Salmon,2008,06/29
5,04,24431,430 Coho Salmon,2008,07/02
7,04,24431,430 Coho Salmon,2008,07/05
19,04,24431,430 Coho Salmon,2008,07/07
30,04,24431,430 Coho Salmon,2008,07/08
74,04,24431,430 Coho Salmon,2008,07/09
19,04,24431,430 Coho Salmon,2008,07/10
47,04,24431,430 Coho Salmon,2008,07/12
26,04,24431,430 Coho Salmon,2008,07/13
98,04,24431,430 Coho Salmon,2008,07/14
28,04,24431,430 Coho Salmon,2008,07/15
67,04,24431,430 Coho Salmon,2008,07/16
92,04,24431,430 Coho Salmon,2008,07/17
81,04,24431,430 Coho Salmon,2008,07/19
143,04,24431,430 Coho Salmon,2008,07/20
616,04,24431,430 Coho Salmon,2008,07/21
134,04,24431,430 Coho Salmon,2008,07/22
235,04,24431,430 Coho Salmon,2008,07/23
144,04,24431,430 Coho Salmon,2008,07/24
153,04,24431,430 Coho Salmon,2008,07/26
1,04,24431,430 Coho Salmon,2009,06/29
3,04,24431,430 Coho Salmon,2009,07/01
1,04,24431,430 Coho Salmon,2009,07/04
25,04,24431,430 Coho Salmon,2009,07/06
2,04,24431,430 Coho Salmon,2009,07/07
4,04,24431,430 Coho Salmon,2009,07/08
2,04,24431,430 Coho Salmon,2009,07/09
6,04,24431,430 Coho Salmon,2009,07/11
2,04,24431,430 Coho Salmon,2009,07/12
5,04,24431,430 Coho Salmon,2009,07/13
2,04,24431,430 Coho Salmon,2009,07/15
3,04,24431,430 Coho Salmon,2009,07/16
1,04,24431,430 Coho Salmon,2009,07/17
1,04,24431,430 Coho Salmon,2009,07/18
4,04,24431,430 Coho Salmon,2009,07/19
4,04,24431,430 Coho Salmon,2009,07/20
2,04,24431,430 Coho Salmon,2009,07/21
30,04,24431,430 Coho Salmon,2009,07/22
8,04,24431,430 Coho Salmon,2009,07/23
16,04,24431,430 Coho Salmon,2009,07/27
63,04,24431,430 Coho Salmon,2009,08/01
56,04,24431,430 Coho Salmon,2009,08/03
120,04,24431,430 Coho Salmon,2009,08/06
285,04,24431,430 Coho Salmon,2009,08/10
2,04,24431,430 Coho Salmon,2010,07/03
1,04,24431,430 Coho Salmon,2010,07/05
1,04,24431,430 Coho Salmon,2010,07/06
11,04,24431,430 Coho Salmon,2010,07/07
11,04,24431,430 Coho Salmon,2010,07/10
618,04,24431,430 Coho Salmon,2010,07/12
88,04,24431,430 Coho Salmon,2010,07/14
48,04,24431,430 Coho Salmon,2010,07/15
88,04,24431,430 Coho Salmon,2010,07/17
35,04,24431,430 Coho Salmon,2010,07/18
84,04,24431,430 Coho Salmon,2010,07/19
12,04,24431,430 Coho Salmon,2010,07/21
46,04,24431,430 Coho Salmon,2010,07/22
40,04,24431,430 Coho Salmon,2010,07/24
54,04,24431,430 Coho Salmon,2010,07/25
105,04,24431,430 Coho Salmon,2010,07/26
119,04,24431,430 Coho Salmon,2010,07/28
107,04,24431,430 Coho Salmon,2010,07/29
61,04,24431,430 Coho Salmon,2010,07/31
154,04,24431,430 Coho Salmon,2010,08/02
302,04,24431,430 Coho Salmon,2010,08/03
116,04,24431,430 Coho Salmon,2010,08/04
74,04,24431,430 Coho Salmon,2010,08/05
250,04,24431,430 Coho Salmon,2010,08/08
237,04,24431,430 Coho Salmon,2010,08/09
150,04,24431,430 Coho Salmon,2010,08/10
144,04,24431,430 Coho Salmon,2010,08/12
1,04,24431,430 Coho Salmon,2011,07/02
1,04,24431,430 Coho Salmon,2011,07/04
3,04,24431,430 Coho Salmon,2011,07/07
2,04,24431,430 Coho Salmon,2011,07/09
2,04,24431,430 Coho Salmon,2011,07/11
17,04,24431,430 Coho Salmon,2011,07/13
1,04,24431,430 Coho Salmon,2011,07/14
34,04,24431,430 Coho Salmon,2011,07/16
19,04,24431,430 Coho Salmon,2011,07/18
12,04,24431,430 Coho Salmon,2011,07/20
46,04,24431,430 Coho Salmon,2011,07/21
42,04,24431,430 Coho Salmon,2011,07/23
137,04,24431,430 Coho Salmon,2011,07/24
36,04,24431,430 Coho Salmon,2011,07/25
8,04,24431,430 Coho Salmon,2011,07/27
21,04,24431,430 Coho Salmon,2011,07/28
14,04,24431,430 Coho Salmon,2011,07/30
42,04,24431,430 Coho Salmon,2011,07/31
36,04,24431,430 Coho Salmon,2011,08/01
44,04,24431,430 Coho Salmon,2011,08/02
66,04,24431,430 Coho Salmon,2011,08/04
124,04,24431,430 Coho Salmon,2011,08/06
263,04,24431,430 Coho Salmon,2011,08/07
87,04,24431,430 Coho Salmon,2012,08/06
136,04,24431,430 Coho Salmon,2012,08/09
188,04,24431,430 Coho Salmon,2012,08/12
224,04,24431,430 Coho Salmon,2012,08/13
1,04,24431,430 Coho Salmon,2013,06/27
2,04,24431,430 Coho Salmon,2013,06/30
2,04,24431,430 Coho Salmon,2013,07/06
3,04,24431,430 Coho Salmon,2013,07/08
2,04,24431,430 Coho Salmon,2013,07/11
10,04,24431,430 Coho Salmon,2013,07/15
8,04,24431,430 Coho Salmon,2013,07/18
11,04,24431,430 Coho Salmon,2013,07/20
13,04,24431,430 Coho Salmon,2013,07/23
1,04,24431,430 Coho Salmon,2014,06/30
1,04,24431,430 Coho Salmon,2014,07/03
2,04,24431,430 Coho Salmon,2014,07/07
1,04,24431,430 Coho Salmon,2014,07/09
5,04,24431,430 Coho Salmon,2014,07/12
3,04,24431,430 Coho Salmon,2014,07/15
8,04,24431,430 Coho Salmon,2014,07/17
7,04,24431,430 Coho Salmon,2014,07/23
41,04,24431,430 Coho Salmon,2014,08/02
115,04,24431,430 Coho Salmon,2014,08/04
2,04,24431,430 Coho Salmon,2015,07/02
2,04,24431,430 Coho Salmon,2015,07/04
1,04,24431,430 Coho Salmon,2015,07/06
2,04,24431,430 Coho Salmon,2015,07/09
8,04,24431,430 Coho Salmon,2015,07/11
7,04,24431,430 Coho Salmon,2015,07/14
1,04,24431,430 Coho Salmon,2015,07/15
14,04,24431,430 Coho Salmon,2015,07/16
75,04,24431,430 Coho Salmon,2015,07/18
13,04,24431,430 Coho Salmon,2015,07/19
8,04,24431,430 Coho Salmon,2015,07/20
2,04,24431,430 Coho Salmon,2015,07/21
4,04,24431,430 Coho Salmon,2015,07/22
17,04,24431,430 Coho Salmon,2015,07/23
22,04,24431,430 Coho Salmon,2015,07/25
33,04,24431,430 Coho Salmon,2015,07/26
18,04,24431,430 Coho Salmon,2015,07/27
4,04,24431,430 Coho Salmon,2015,07/28
11,04,24431,430 Coho Salmon,2015,07/29
17,04,24431,430 Coho Salmon,2015,07/30
8,04,24431,430 Coho Salmon,2015,07/31
25,04,24431,430 Coho Salmon,2015,08/01
2,04,24431,430 Coho Salmon,2015,08/02
56,04,24431,430 Coho Salmon,2015,08/03
12,04,24431,430 Coho Salmon,2015,08/04
97,04,24431,430 Coho Salmon,2015,08/05
105,04,24431,430 Coho Salmon,2015,08/06
46,04,24431,430 Coho Salmon,2015,08/08
56,04,24431,430 Coho Salmon,2015,08/09
43,04,24431,430 Coho Salmon,2015,08/10
1,04,24431,430 Coho Salmon,2016,06/25
1,04,24431,430 Coho Salmon,2016,06/27
1,04,24431,430 Coho Salmon,2016,07/02
3,04,24431,430 Coho Salmon,2016,07/06
6,04,24431,430 Coho Salmon,2016,07/09
5,04,24431,430 Coho Salmon,2016,07/11
2,04,24431,430 Coho Salmon,2016,07/12
3,04,24431,430 Coho Salmon,2016,07/13
1,04,24431,430 Coho Salmon,2016,07/14
5,04,24431,430 Coho Salmon,2016,07/16
12,04,24431,430 Coho Salmon,2016,07/17
10,04,24431,430 Coho Salmon,2016,07/18
11,04,24431,430 Coho Salmon,2016,07/19
28,04,24431,430 Coho Salmon,2016,07/21
2,04,24431,430 Coho Salmon,2016,07/22
3,04,24431,430 Coho Salmon,2016,07/23
4,04,24431,430 Coho Salmon,2016,07/24
9,04,24431,430 Coho Salmon,2016,07/25
15,04,24431,430 Coho Salmon,2016,07/28
4,04,24431,430 Coho Salmon,2016,07/29
22,04,24431,430 Coho Salmon,2016,08/01
4,04,24431,430 Coho Salmon,2016,08/02
52,04,24431,430 Coho Salmon,2016,08/03
11,04,24431,430 Coho Salmon,2016,08/04
58,04,24431,430 Coho Salmon,2016,08/05
97,04,24431,430 Coho Salmon,2016,08/07
138,04,24431,430 Coho Salmon,2016,08/09
1,04,24431,430 Coho Salmon,2017,07/05
2,04,24431,430 Coho Salmon,2017,07/06
4,04,24431,430 Coho Salmon,2017,07/08
7,04,24431,430 Coho Salmon,2017,07/10
1,04,24431,430 Coho Salmon,2017,07/12
12,04,24431,430 Coho Salmon,2017,07/13
18,04,24431,430 Coho Salmon,2017,07/15
2,04,24431,430 Coho Salmon,2017,07/16
17,04,24431,430 Coho Salmon,2017,07/17
20,04,24431,430 Coho Salmon,2017,07/20
60,04,24431,430 Coho Salmon,2017,07/29
9,04,24431,430 Coho Salmon,2017,07/30
26,04,24431,430 Coho Salmon,2017,07/31
113,04,24431,430 Coho Salmon,2017,08/03
7,04,24431,430 Coho Salmon,2017,08/04
144,04,24431,430 Coho Salmon,2017,08/07
12,04,24431,430 Coho Salmon,2017,08/08
220,04,24431,430 Coho Salmon,2017,08/09
261,04,24431,430 Coho Salmon,2017,08/10
24,04,24431,430 Coho Salmon,2017,08/11
98,04,24431,430 Coho Salmon,2017,08/14
184,04,24431,430 Coho Salmon,2017,08/15
52,04,24431,430 Coho Salmon,2017,08/16
1,04,24431,430 Coho Salmon,2018,07/04
1,04,24431,430 Coho Salmon,2018,07/07
3,04,24431,430 Coho Salmon,2018,07/09
20,04,24431,430 Coho Salmon,2018,07/12
1,04,24431,430 Coho Salmon,2018,07/14
1,04,24431,430 Coho Salmon,2018,07/15
2,04,24431,430 Coho Salmon,2018,07/18
16,04,24431,430 Coho Salmon,2018,07/19
1,04,24431,430 Coho Salmon,2018,07/20
36,04,24431,430 Coho Salmon,2018,07/21
11,04,24431,430 Coho Salmon,2018,07/22
14,04,24431,430 Coho Salmon,2018,07/23
12,04,24431,430 Coho Salmon,2018,07/26
1,04,24431,430 Coho Salmon,2018,07/27
20,04,24431,430 Coho Salmon,2018,07/28
2,04,24431,430 Coho Salmon,2019,07/01
3,04,24431,430 Coho Salmon,2019,07/08
1,04,24431,430 Coho Salmon,2019,07/09
13,04,24431,430 Coho Salmon,2019,07/11
1,04,24431,430 Coho Salmon,2019,07/12
14,04,24431,430 Coho Salmon,2019,07/13
2,04,24431,430 Coho Salmon,2019,07/14
9,04,24431,430 Coho Salmon,2019,07/15
2,04,24431,430 Coho Salmon,2019,07/16
20,04,24431,430 Coho Salmon,2019,07/18
10,04,24431,430 Coho Salmon,2019,07/21
13,04,24431,430 Coho Salmon,2019,07/22
16,04,24431,430 Coho Salmon,2019,07/25
38,04,24431,430 Coho Salmon,2019,07/28
13,04,24431,430 Coho Salmon,2019,07/29
2,04,24431,430 Coho Salmon,2019,07/30
22,04,24431,430 Coho Salmon,2019,07/31
33,04,24431,430 Coho Salmon,2019,08/01
21,04,24431,430 Coho Salmon,2019,08/02
22,04,24431,430 Coho Salmon,2019,08/03
7,04,24431,430 Coho Salmon,2020,07/20
1,04,24431,430 Coho Salmon,2020,07/21
3,04,24431,430 Coho Salmon,2020,07/22
1,04,24431,430 Coho Salmon,2021,07/03
1,04,24431,430 Coho Salmon,2021,07/07
2,04,24431,430 Coho Salmon,2021,07/08
1,04,24431,430 Coho Salmon,2021,07/12
4,04,24431,430 Coho Salmon,2021,07/19
1,04,24431,430 Coho Salmon,2022,07/11
1,04,24431,430 Coho Salmon,2022,07/14
4,04,24432,430 Coho Salmon,2005,07/11
1,04,24432,430 Coho Salmon,2005,07/12
1,04,24432,430 Coho Salmon,2005,07/13
1,04,24432,430 Coho Salmon,2005,07/16
8,04,24432,430 Coho Salmon,2005,07/18
3,04,24432,430 Coho Salmon,2005,07/19
1,04,24432,430 Coho Salmon,2005,07/20
1,04,24432,430 Coho Salmon,2005,07/21
12,04,24432,430 Coho Salmon,2005,07/23
6,04,24432,430 Coho Salmon,2005,07/24
5,04,24432,430 Coho Salmon,2005,07/25
6,04,24432,430 Coho Salmon,2005,07/26
23,04,24432,430 Coho Salmon,2005,07/27
164,04,24432,430 Coho Salmon,2005,07/28
7,04,24432,430 Coho Salmon,2005,07/30
86,04,24432,430 Coho Salmon,2005,07/31
72,04,24432,430 Coho Salmon,2005,08/01
32,04,24432,430 Coho Salmon,2005,08/03
34,04,24432,430 Coho Salmon,2005,08/04
77,04,24432,430 Coho Salmon,2005,08/06
156,04,24432,430 Coho Salmon,2005,08/07
263,04,24432,430 Coho Salmon,2005,08/08
132,04,24432,430 Coho Salmon,2005,08/09
152,04,24432,430 Coho Salmon,2005,08/10
4,04,24432,430 Coho Salmon,2006,07/10
59,04,24432,430 Coho Salmon,2006,07/13
17,04,24432,430 Coho Salmon,2006,07/17
146,04,24432,430 Coho Salmon,2006,07/31
142,04,24432,430 Coho Salmon,2006,08/01
84,04,24432,430 Coho Salmon,2006,08/02
153,04,24432,430 Coho Salmon,2006,08/04
277,04,24432,430 Coho Salmon,2006,08/05
329,04,24432,430 Coho Salmon,2006,08/06
328,04,24432,430 Coho Salmon,2006,08/07
149,04,24432,430 Coho Salmon,2006,08/08
162,04,24432,430 Coho Salmon,2006,08/09
12,04,24432,430 Coho Salmon,2007,07/09
30,04,24432,430 Coho Salmon,2007,07/12
92,04,24432,430 Coho Salmon,2007,07/16
283,04,24432,430 Coho Salmon,2007,07/19
72,04,24432,430 Coho Salmon,2007,07/21
131,04,24432,430 Coho Salmon,2007,07/22
138,04,24432,430 Coho Salmon,2007,07/23
28,04,24432,430 Coho Salmon,2007,07/26
26,04,24432,430 Coho Salmon,2007,07/28
216,04,24432,430 Coho Salmon,2007,07/30
199,04,24432,430 Coho Salmon,2007,07/31
115,04,24432,430 Coho Salmon,2007,08/01
69,04,24432,430 Coho Salmon,2007,08/02
56,04,24432,430 Coho Salmon,2007,08/05
300,04,24432,430 Coho Salmon,2007,08/06
177,04,24432,430 Coho Salmon,2007,08/07
16,04,24432,430 Coho Salmon,2007,08/08
99,04,24432,430 Coho Salmon,2007,08/09
11,04,24432,430 Coho Salmon,2008,07/10
306,04,24432,430 Coho Salmon,2008,07/14
142,04,24432,430 Coho Salmon,2008,07/17
705,04,24432,430 Coho Salmon,2008,07/21
149,04,24432,430 Coho Salmon,2008,07/24
3,04,24432,430 Coho Salmon,2009,07/09
2,04,24432,430 Coho Salmon,2009,07/13
3,04,24432,430 Coho Salmon,2009,07/16
5,04,24432,430 Coho Salmon,2009,07/20
19,04,24432,430 Coho Salmon,2009,07/23
229,04,24432,430 Coho Salmon,2009,08/01
123,04,24432,430 Coho Salmon,2009,08/03
197,04,24432,430 Coho Salmon,2009,08/06
220,04,24432,430 Coho Salmon,2009,08/10
3,04,24432,430 Coho Salmon,2010,07/08
161,04,24432,430 Coho Salmon,2010,07/12
476,04,24432,430 Coho Salmon,2010,07/15
182,04,24432,430 Coho Salmon,2010,07/19
23,04,24432,430 Coho Salmon,2010,07/21
98,04,24432,430 Coho Salmon,2010,07/22
84,04,24432,430 Coho Salmon,2010,07/24
44,04,24432,430 Coho Salmon,2010,07/25
136,04,24432,430 Coho Salmon,2010,07/26
182,04,24432,430 Coho Salmon,2010,07/28
153,04,24432,430 Coho Salmon,2010,07/29
89,04,24432,430 Coho Salmon,2010,07/31
272,04,24432,430 Coho Salmon,2010,08/02
160,04,24432,430 Coho Salmon,2010,08/03
240,04,24432,430 Coho Salmon,2010,08/04
159,04,24432,430 Coho Salmon,2010,08/05
253,04,24432,430 Coho Salmon,2010,08/08
189,04,24432,430 Coho Salmon,2010,08/09
135,04,24432,430 Coho Salmon,2010,08/10
152,04,24432,430 Coho Salmon,2010,08/12
3,04,24432,430 Coho Salmon,2011,07/11
8,04,24432,430 Coho Salmon,2011,07/14
38,04,24432,430 Coho Salmon,2011,07/16
57,04,24432,430 Coho Salmon,2011,07/18
37,04,24432,430 Coho Salmon,2011,07/20
109,04,24432,430 Coho Salmon,2011,07/21
86,04,24432,430 Coho Salmon,2011,07/23
216,04,24432,430 Coho Salmon,2011,07/24
30,04,24432,430 Coho Salmon,2011,07/25
16,04,24432,430 Coho Salmon,2011,07/27
38,04,24432,430 Coho Salmon,2011,07/28
42,04,24432,430 Coho Salmon,2011,07/30
63,04,24432,430 Coho Salmon,2011,07/31
71,04,24432,430 Coho Salmon,2011,08/01
32,04,24432,430 Coho Salmon,2011,08/02
84,04,24432,430 Coho Salmon,2011,08/04
119,04,24432,430 Coho Salmon,2011,08/06
128,04,24432,430 Coho Salmon,2011,08/07
3,04,24432,430 Coho Salmon,2012,07/16
167,04,24432,430 Coho Salmon,2012,08/06
365,04,24432,430 Coho Salmon,2012,08/09
62,04,24432,430 Coho Salmon,2012,08/12
109,04,24432,430 Coho Salmon,2012,08/13
2,04,24432,430 Coho Salmon,2013,07/08
4,04,24432,430 Coho Salmon,2013,07/11
7,04,24432,430 Coho Salmon,2013,07/15
3,04,24432,430 Coho Salmon,2013,07/18
11,04,24432,430 Coho Salmon,2013,07/20
29,04,24432,430 Coho Salmon,2013,07/23
3,04,24432,430 Coho Salmon,2014,07/09
22,04,24432,430 Coho Salmon,2014,07/17
20,04,24432,430 Coho Salmon,2014,07/23
78,04,24432,430 Coho Salmon,2014,08/02
95,04,24432,430 Coho Salmon,2014,08/04
406,04,24432,430 Coho Salmon,2014,08/06
5,04,24432,430 Coho Salmon,2015,07/09
2,04,24432,430 Coho Salmon,2015,07/11
4,04,24432,430 Coho Salmon,2015,07/14
21,04,24432,430 Coho Salmon,2015,07/16
35,04,24432,430 Coho Salmon,2015,07/20
13,04,24432,430 Coho Salmon,2015,07/23
18,04,24432,430 Coho Salmon,2015,07/25
16,04,24432,430 Coho Salmon,2015,07/26
21,04,24432,430 Coho Salmon,2015,07/27
16,04,24432,430 Coho Salmon,2015,07/29
17,04,24432,430 Coho Salmon,2015,07/30
16,04,24432,430 Coho Salmon,2015,08/01
55,04,24432,430 Coho Salmon,2015,08/02
117,04,24432,430 Coho Salmon,2015,08/03
130,04,24432,430 Coho Salmon,2015,08/05
143,04,24432,430 Coho Salmon,2015,08/06
183,04,24432,430 Coho Salmon,2015,08/08
111,04,24432,430 Coho Salmon,2015,08/09
184,04,24432,430 Coho Salmon,2015,08/10
170,04,24432,430 Coho Salmon,2015,08/12
37,04,24432,430 Coho Salmon,2015,08/13
13,04,24432,430 Coho Salmon,2016,07/11
2,04,24432,430 Coho Salmon,2016,07/12
3,04,24432,430 Coho Salmon,2016,07/13
1,04,24432,430 Coho Salmon,2016,07/14
6,04,24432,430 Coho Salmon,2016,07/16
10,04,24432,430 Coho Salmon,2016,07/17
10,04,24432,430 Coho Salmon,2016,07/18
3,04,24432,430 Coho Salmon,2016,07/19
70,04,24432,430 Coho Salmon,2016,07/21
7,04,24432,430 Coho Salmon,2016,07/23
15,04,24432,430 Coho Salmon,2016,07/24
15,04,24432,430 Coho Salmon,2016,07/25
19,04,24432,430 Coho Salmon,2016,07/28
55,04,24432,430 Coho Salmon,2016,08/01
49,04,24432,430 Coho Salmon,2016,08/03
137,04,24432,430 Coho Salmon,2016,08/05
186,04,24432,430 Coho Salmon,2016,08/07
125,04,24432,430 Coho Salmon,2016,08/08
232,04,24432,430 Coho Salmon,2016,08/09
114,04,24432,430 Coho Salmon,2016,08/10
2,04,24432,430 Coho Salmon,2017,07/10
4,04,24432,430 Coho Salmon,2017,07/12
24,04,24432,430 Coho Salmon,2017,07/13
14,04,24432,430 Coho Salmon,2017,07/15
3,04,24432,430 Coho Salmon,2017,07/16
28,04,24432,430 Coho Salmon,2017,07/17
24,04,24432,430 Coho Salmon,2017,07/20
49,04,24432,430 Coho Salmon,2017,07/29
63,04,24432,430 Coho Salmon,2017,07/31
212,04,24432,430 Coho Salmon,2017,08/03
308,04,24432,430 Coho Salmon,2017,08/07
360,04,24432,430 Coho Salmon,2017,08/09
403,04,24432,430 Coho Salmon,2017,08/10
461,04,24432,430 Coho Salmon,2017,08/14
42,04,24432,430 Coho Salmon,2017,08/15
5,04,24432,430 Coho Salmon,2018,07/09
39,04,24432,430 Coho Salmon,2018,07/12
11,04,24432,430 Coho Salmon,2018,07/19
22,04,24432,430 Coho Salmon,2018,07/21
25,04,24432,430 Coho Salmon,2018,07/23
6,04,24432,430 Coho Salmon,2019,07/08
10,04,24432,430 Coho Salmon,2019,07/09
28,04,24432,430 Coho Salmon,2019,07/11
14,04,24432,430 Coho Salmon,2019,07/13
20,04,24432,430 Coho Salmon,2019,07/15
42,04,24432,430 Coho Salmon,2019,07/18
6,04,24432,430 Coho Salmon,2019,07/21
12,04,24432,430 Coho Salmon,2019,07/22
16,04,24432,430 Coho Salmon,2019,07/25
6,04,24432,430 Coho Salmon,2019,07/26
29,04,24432,430 Coho Salmon,2019,07/28
21,04,24432,430 Coho Salmon,2019,07/29
16,04,24432,430 Coho Salmon,2019,07/31
63,04,24432,430 Coho Salmon,2019,08/01
24,04,24432,430 Coho Salmon,2019,08/02
61,04,24432,430 Coho Salmon,2019,08/03
1,04,24432,430 Coho Salmon,2020,07/08
